   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:47(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:130(<dictcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1665(AppendingTiffWriter)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:289(IFDRational)
       26    0.000    0.000    0.000    0.000 TiffImagePlugin.py:361(_delegate)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:403(ImageFileDirectory_v2)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:41(<module>)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:624(_register_loader)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:625(decorator)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:635(_register_writer)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:636(decorator)
        8    0.000    0.000    0.000    0.000 TiffImagePlugin.py:642(_register_basic)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:893(ImageFileDirectory_v1)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:992(TiffImageFile)
        7    0.000    0.000    1.328    0.190 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
      909    0.001    0.000    0.001    0.000 __init__.py:100(check_in_list)
       14    0.000    0.000    0.007    0.001 __init__.py:1002(flush)
       14    0.000    0.000    0.010    0.001 __init__.py:1013(emit)
        1    0.000    0.000    0.000    0.000 __init__.py:102(__call__)
       16    0.000    0.000    0.000    0.000 __init__.py:108(__hash__)
    13/12    0.000    0.000    0.069    0.006 __init__.py:109(import_module)
        3    0.000    0.000    0.000    0.000 __init__.py:1096(get_backend)
        1    0.000    0.000    0.001    0.001 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1107(interactive)
        2    0.000    0.000    0.000    0.000 __init__.py:1114(is_interactive)
       14    0.000    0.000    0.000    0.000 __init__.py:112(_weak_or_strong_ref)
        3    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:117(getLevelName)
        4    0.000    0.000    0.000    0.000 __init__.py:1170(append)
       29    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:122(CallbackRegistry)
       37    0.000    0.000    0.005    0.000 __init__.py:1243(_add_data_doc)
       28    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
       72    0.001    0.000    0.009    0.000 __init__.py:1278(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:1283(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
       88    0.000    0.000    0.000    0.000 __init__.py:1312(is_math_text)
      222    0.000    0.000    0.001    0.000 __init__.py:1325(_to_unmasked_float_array)
       76    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
       28    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1336(_check_1d)
      753    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
        1    0.000    0.000    0.047    0.047 __init__.py:138(_check_versions)
       14    0.000    0.000    0.012    0.001 __init__.py:1380(warning)
     2060    0.002    0.000    0.004    0.000 __init__.py:1429(log)
       14    0.000    0.000    0.001    0.000 __init__.py:1476(makeRecord)
       14    0.000    0.000    0.011    0.001 __init__.py:1491(_log)
       14    0.000    0.000    0.010    0.001 __init__.py:1516(handle)
      228    0.000    0.000    0.000    0.000 __init__.py:154(<genexpr>)
       14    0.000    0.000    0.010    0.001 __init__.py:1570(callHandlers)
        5    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
     2827    0.001    0.000    0.001    0.000 __init__.py:1614(isEnabledFor)
       45    0.000    0.000    0.000    0.000 __init__.py:1654(<lambda>)
       12    0.000    0.000    0.000    0.000 __init__.py:1696(safe_first_element)
      159    0.000    0.000    0.000    0.000 __init__.py:170(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1718(sanitize_sequence)
      186    0.001    0.000    0.002    0.000 __init__.py:1726(normalize_kwargs)
      186    0.001    0.000    0.001    0.000 __init__.py:1791(<dictcomp>)
      186    0.000    0.000    0.000    0.000 __init__.py:1805(<listcomp>)
      186    0.000    0.000    0.000    0.000 __init__.py:1810(<listcomp>)
       28    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
      948    0.000    0.000    0.001    0.000 __init__.py:1879(_str_equal)
       56    0.000    0.000    0.000    0.000 __init__.py:1890(_str_lower_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:19(get_projection_class)
       12    0.000    0.000    0.001    0.000 __init__.py:1901(_define_aliases)
       82    0.000    0.000    0.001    0.000 __init__.py:1922(make_alias)
       29    0.000    0.000    0.001    0.000 __init__.py:1928(getLogger)
       14    0.000    0.000    0.001    0.000 __init__.py:194(warn_external)
